seg,Freq
李文亮,448
疫情,205
医生,182
感染,146
我们,132
肺炎,130
表示,108
武汉,99
武汉市,89
新型,85
中心医院,84
一个,79
记者,78
冠状病毒,76
工作,74
消息,73
确诊,66
去世,65
自己,65
医院,63
没有,62
防控,59
哀悼,53
发布,53
抗击,47
这个,47
新冠,46
病例,45
什么,43
不幸,41
国家,41
凌晨,41
病毒,40
信息,40
眼科医生,39
妻子,38
一线,38
患者,37
希望,36
现在,36
眼科,36
他们,35
检测,34
爱尔,33
全力,33
微博,33
接受,32
抢救无效,32
情况,32
健康,31
防护,30
已经,30
病人,29
吹哨,29
孩子,29
家人,29
开始,29
医务人员,29
中国,29
社会,27
生活,27
因为,27
大家,26
人民,26
结果,25
微信,25
醫生,25
英雄,25
出现,24
当时,24
湖北,24
时候,24
训诫,24
一直,24
不是,23
湖北省,23
媒体,23
目前,23
抢救,23
同学,23
员工,23
发生,22
官方,22
问题,22
不能,21
城市,21
很多,21
就是,21
时间,21
发出,20
进行,20
如果,20
死亡,20
同事,20
应该,20
采访,19
出院,19
父母,19
关爱,19
关于,19
还是,19
家属,19
救治,19
提醒,19
治愈,19
发热,18
方面,18
工作者,18
计划,18
累计,18
朋友圈,18
需要,18
正在,18
之后,18
住院,18
注意,18
病情,17
沉痛,17
经济,17
口罩,17
留下,17
全面,17
深表,17
慰问,17
喜欢,17
新增,17
一位,17
有关,17
悼念,16
儿子,16
个人,16
今天,16
企业,16
生命,16
为什么,16
卫生,16
新闻,16
怎么,16
只是,16
最后,16
左右,16
报道,15
报告,15
敬意,15
临床,15
普通人,15
人们,15
深切,15
网络,15
委员会,15
预警,15
最早,15
最终,15
保障,14
不实,14
服务,14
还有,14
截至,14
决定,14
期间,14
其中,14
确认,14
任何,14
逝世,14
文字,14
医务,14
战胜,14
症状,14
知道,14
专业,14
组织,14
保护,13
北京,13
不会,13
此前,13
对此,13
公司,13
冠狀病毒,13
核酸,13
觉得,13
介绍,13
精神,13
普通,13
群里,13
涉及,13
市场,13
所有,13
泰國,13
同时,13
卫健委,13
显示,13
相关,13
谣言,13
一天,13
这是,13
打赢,12
发现,12
公众,12
活动,12
截图,12
今日,12
咳嗽,12
离开,12
南方周末,12
朋友,12
启动,12
群众,12
然后,12
上午,12
市民,12
提供,12
调查,12
武汉大学,12
一名,12
照片,12
之一,12
治疗,12
本人,11
但是,11
发布会,11
反思,11
进一步,11
那么,11
声音,11
收治,11
所以,11
痛惜,11
下午,11
阳性,11
一些,11
医师,11
依然,11
只有,11
重症,11
做好,11
北京市,10
必须,10
诚挚,10
得知,10
第一,10
电话,10
非常,10
付雪洁,10
告诉,10
隔离,10
公布,10
关注,10
國家,10
后来,10
集团,10
坚守,10
警方,10
警示,10
李医生,10
那座,10
奇迹,10
確診,10
通报,10
通过,10
通知,10
万元,10
武漢,10
协会,10
一种,10
影响,10
这场,10
这里,10
这样,10
这种,10
支持,10
致敬,10
终于,10
包括,9
成为,9
出来,9
处理,9
存在,9
大夫,9
大概,9
发文,9
过程,9
华南,9
回复,9
火神,9
接触,9
街道,9
救助,9
看到,9
康复,9
抗擊,9
抗疫,9
临床试验,9
面对,9
那天,9
派出,9
派出所,9
辟谣,9
平凡,9
平台,9
全国,9
人民日报,9
人员,9
社交,9
身体,9
深夜,9
事情,9
视频,9
受到,9
我們,9
校友,9
医护人员,9
疑似病例,9
有人,9
原因,9
这些,9
支付,9
治愈率,9
重要,9
阻击战,9
尊重,9
不凡,8
不过,8
不明,8
此次,8
反映,8
分型,8
复工,8
感到,8
更好,8
